,first,last,nickname,height_inches,weight_lbs,reach_inches,stance,win,loss,draw,belt
2564,Diego,Saraiva,The Octopus,66.0,155,--,Orthodox,21.0,16.0,1.0,
2565,Harris,Sarmiento,The Hitman,69.0,155,--,Orthodox,33.0,23.0,0.0,
2566,Alexander,Sarnavskiy,Tiger,71.0,155,--,,35.0,6.0,0.0,
2567,Yuki,Sasaki,,74.0,185,--,Orthodox,22.0,19.0,1.0,
2568,Kyosuke,Sasaki,,67.0,183,--,Southpaw,3.0,7.0,4.0,
2569,Ulka,Sasaki,Ulka,70.0,125,71.0,Southpaw,21.0,6.0,2.0,
2570,Paul,Sass,,72.0,155,73.0,Orthodox,13.0,2.0,0.0,
2571,Masaaki,Satake,,73.0,220,--,Orthodox,1.0,8.0,1.0,
2572,Takenori,Sato,,70.0,170,71.0,Southpaw,17.0,10.0,7.0,
2573,Jeimeson,Saudino,The Minion,66.0,135,--,,8.0,5.0,0.0,
2574,Tom,Sauer,,73.0,263,--,,24.0,12.0,0.0,
2575,Townsend,Saunders,,65.0,170,--,Orthodox,0.0,2.0,0.0,
2576,Ben,Saunders,Killa B,74.0,170,77.0,Orthodox,22.0,11.0,2.0,
2577,Chad W.,Saunders,,70.0,170,--,Orthodox,7.0,2.0,0.0,
2578,Chris,Saunders,The So Cal Kid,68.0,155,--,,9.0,3.0,0.0,
